image_name,number of sutures,mean inter suture spacing,variance of inter suture spacing,mean suture angle wrt x-axis,variance of suture angle wrt x-axis
img1.png,11,0.083333,0.000191,-1.638246,26.617310
img2.png,12,0.080707,0.002596,1.710217,224.299818
img3.png,19,0.058125,0.000069,0.024459,9.613912
img4.png,13,0.080775,0.000481,3.043862,14.030466
img5.png,16,0.056308,0.000183,0.161201,29.228422
img6.png,10,0.075522,0.000100,2.717194,25.206270
img7.png,12,0.085311,0.000217,5.008222,15.721351
img8.png,9,0.102534,0.000450,3.542989,32.447584
